Subject ID,Interview Period,Change Sphere(s),Type,Cntxt Sig,V Vctr,H Vctr,Themes,Patterns,Codes,Narrative
DFS1,Q2 2018,"personal, family, community",Story,2.5,2,2,,,"Listening, dialogue","I come from a long line of soldiers in my family, stretching back generations. Even though I am a woman, I used to have a reputation for being a stern and domineering person. Even my husband was a little afraid of me, I think, and took more responsibility with housework while I went out doing my training work with the KNU. I was a teacher, but my style of teaching was more like a drill-sergeant. People didn't tend to seek me out for advice; if anything, they avoided me. I made my first Bamar friend in the DF training, we've become quite close, and I think that's had a big effect on me. These days, I'm surprised to find that people are always waiting to have conversations with me: family members and also other administrators from around the area. I'll come back from delivering a training, and someone or some group will be sitting there waiting to talk to me. I ask them why, and they say that even though I don't always know their situation well, that when they discuss it with me they find answers for themselves."
DFS1,Q2 2018,Colleagues,Story  ,3,1,2,,,Collaboration; organizational behavior,"The Karen want to find political solutions through political negotiations. So we must have facilitators, who could facilitate for all these people to speak up. So that’s why we gathered together a few of us from the different DF cohorts, and formed what we call the 'Karen Facilitation Group.' It's a professional society that can help bring the needed skills to this process. We are now asked to facilitate all the internal KNU meetings, so our leadership has also recognized our value. It is not only for Karen society, it is also good for the broader society."
DFS1,Q2 2018,Community,Story ,2.5,1,2,,,"governance, dialogue, ethnic conflict","I give awareness training for conflict transformation and the concept of dialogue culture in the frontline areas where the KNU soldiers are fighting. I went to work with one brigade on the front lines, and I now see ways in which their patterns even within their own ranks are changing. They used to have a lot of internal fighting, for example, as members of different religious and ethnic sub-groups become hostile to one another. Sometimes even to the point of shooting at one another. The leaders would treat these issues with harsh punishment, like putting the soldiers in stocks for days on end. But now they seem to have internalized the idea that prisoners have rights, and that having a forum for people to talk through their complaints before it reaches the level of violence can be a better way to manage things. Because of this progress, I think that there should be more of this training, dialogue training, with different brigades – not just on the KNU side, but also on the Tatmadaw side. I have strong reason to hope that if we can give this sort of awareness training, then we can reduce the level of fighting."
DFS12,Q2 2018,"Personal, family, community",story,2.5,2,1.5,,,"challenging authority, self-direction","I grew up in a village close to the KNU-controlled areas. I have always had a lame leg, and people have called me a cripple all my life. But I was good in school, was one of the few in my village who passed matric, and so I learned to be an accountant. My family was pleased with this, until I started to take on pro bono work in order to help the community. Once they became so upset that I wasn't doing more to earn money, that my parents beat me. But I pressed on. I joined a DF bootcamp a couple years ago, and there met an older woman who has become a kind of role model for me. More recently I've been elected as a village administrator - the youngest administrator in the village's history. "
DFS12,Q2 2018,Community,"
",2.5,2,1,,,"recognizing patterns, exploitation","There is a problem regarding land ownership in our village. It’s actually not hard to officially claim ownership of your ancestor’s land, but a former village administrator did not inform villagers of their rights in this area, so that many of them simply did not know they could apply. This administrator in fact took some of this land for himself, without notifying those who had a claim to it. This former administrator is no longer in that position of authority – he’s an ordinary villager now. But there is still a problem going on between these villagers. So in that scenario, I helped them see the repetitions, the patterns, of all the sorts of problems, by using the timeline tool. So they can see how this kind of problem repeats along the history. I've now been elected a village administrator."
DFS12,Q2 2018,Personal,Scenario ,1,1,1,,,"Self-awareness, building trust","Before I joined DF actually I had some trainings on facilitation. But when I joined DF program, it built up the ideas from the fundamentals, and so really deepened my understanding. For example, in the past, when there are going to be facilitations or events, we just jump in and are doing facilitations based on the agendas developed by others. After joining DF, I came to see that before we facilitate others, we have to facilitate ourselves first. For example, you have to build your trust level and the way you behave, all your manners, so that if these people are going to be facilitated by me, those people will see me as a trustworthy person. For example, sometimes you got involved in the discussions of the participants, and you forget that you are facilitating them, so you have to be always aware that you are facilitating them, not to get too dragged along by the participants. So you have to be always aware."
DFS2,Q2 2018,"Personal, Colleagues",Scenario ,1,1,1,,,"Self-control, listening, dialogue, organizational behavior","Before PLD, when we had meetings in our organizations we discussed based on emotions alone. After PLD, I can manage myself better, and I can better understand how other people think and feel the way they do. And I can find better ways to resolve our discussions. Before our discussions were rather short - we vented our feelings, and there wasn't any space to work things through. The attitude was 'take it or leave it.' Now our discussions are long. We take time to understand the motivations on all sides, their concerns, etc."
DFS2,Q2 2018,"Personal, Community",Scenario ,1.5,1,1,,,"Objectivity, self-control, planning, process","Coal miners are deeply affected by government policies and agencies in their area, and they came to us to explain their plight with great feeling. I listened to them, but then tried to explain that deep feeling will not be enough to change the situation: we need to talk with information. We need to ask ourselves, is this real information, or just feelings? We need to be aware of this in order to be effective in conversations with the government committees. We need to plan around this. So we discussed how to control their mindsets and make their case objectively. We worked through some examples together. They get it now. Our project activity is for multi-stakeholder meetings for two months. They can now collect information and they can discuss formally, control their emotions, and hit the target. They can now also see these discussions are an ongoing process, not a one-time event. It's not one shot, one target. It needs a steady barrage."
DFS3,Q2 2018,"Personal, Community",Story ,1.5,1,2,,,"Technical support, confidence, creativity","ROAD is working on some projects and sometimes we need to give trainings. The curriculum was developed locally, but the values and theories I got from the DF program. Conflict transformation theory, for example, or deliberative dialogue theory -- I got these from DF. I based my trainings from these old theories while adapting them to match the local context. Before the DF program I didn’t have the confidence, and not enough motivation, but after the DF program I had both the confidence and the motivation to set up ROAD."
DFS3,Q2 2018,Personal,Scenario ,1.5,2,1,,,"self-awareness, self-control, forgiveness, trust","People who have known me for a long time say that my whole posture toward other people has changed. I was once a very young member of the 88 generation protesters, which was a traumatic experience: I was betrayed, my parents and I were imprisoned, assaulted, all kinds of things. I always tended to be an emotional person anyway, very sensitive. And so then I became very bitter and untrusting as well. I developed a reputation for never smiling. Forgiveness has been a real struggle. I would really hate those who didn't show me respect. But now, after a long while, I feel I'm finally able to let go of that. People who knew me in the past have told me they are surprised by this big change in me."
DFS4,Q2 2018,"Personal, Community",Story ,1,0,0,,,"Local government, Listening, Dialogue","Over the last six months I have been involved with organizing the election process for a new village head. I wasn't there in any official capacity, just as another village member expressing their views. I listened to what was being said in the forums, shared some of what I've learned, and found that I was starting to play a facilitating role without intending to. The existing administrator was conflicted about whether it was legitimate for him to run again for the office or not. His thinking wasn't clear, and there was some confusion about how to proceed. That’s where I got involved. My contribution came directly from what I learned from DF. I listened, I asked questions. For example, would people accept it if this existing head ran for office again? These kinds of things. I don’t know exactly how it's going to turn out, but one early outcome is that the existing administrator has indeed decided to stand for election again. I feel I played a part in that."
DFS5,Q2 2018,Community,Story ,1.5,1.5,2,,,"Dialogue, strategic planning, community organizing, building trust","This one community had been having a problem with the Myanmar-China pipeline for four years. A number of the villagers had their farms destroyed by the pipeline construction and water erosion. So the farmers sought compensation. The Chinese company claimed it was not their fault. And the discussions went nowhere for four years. So I went and talked with the people using appreciative inquiry, and I used some strategic planning approaches to diagram who was involved, who needed to be approached, things like that. I made one statement with all the community and applied to the Hluttaw. I collected everyone’s concerns to put to the Hluttaw, so that the community could get compensation. In the end they got 40,000 lakhs compensation."
DFS5,Q2 2018,"Personal, Community",Story ,2,1,2,,,"Community organizing, inclusion, initiative","Before I had been working with the Farmer’s Union, but I became interested in environmental issues, including things like the pipeline. There was a big flood in December of 2015, and I went to work on the rescue team. It was while working on that team that I had an idea that these people need a place to talk about finding solutions to their issues, so I created a Community Dialogue Centre, and built it next to my house. A bamboo shelter, so people can come and talk to find solutions, this type of thing. I contacted Metta Development Foundation, got a loan for this project, and built up from there. Now the situation is that twice a year we have a big village committee meeting, go over financial statements and other information about what is going on environmentally in their area - erosion, diseases, improvements, etc - they bring it all. And we talk through it together."
DFS5,Q2 2018,Family ,Story ,1.5,1,1,,,"Community respect, social pressure","During the DF training I was struggling with my family because they didn't believe in this kind of work. They didn't take it seriously, because I wasn't getting any money out of it. But now that they can see how the community trusts me, how they visit our home to seek my advice – my family has been impressed by this, and now supports me."
DFS6,Q2 2018,Personal,Story ,1.5,1,0,,,"self-direction, greed","The main change in me is that I am less greedy than I was before. I remember the phrase ‘Go slow, to go first’ from DF. Now I can say No, when I need to say No, and focus on my values first and foremost. For example, after DF I was offered a job as a freelance trainer and facilitator, which wouldn’t have been an all-inclusive process involving other groups in the region. In the past I would have done it purely for the money. But after DF I saw the bigger picture and realized it wouldn’t align with my own values. For that reason I rejected the job offer."
DFS6,Q2 2018,"family, community",Story ,1.5,1,2,,,"Community organizing, listening, inclusion","One of my main achievements has been facilitating and organizing meetings within my own tribal community. We have six different families within this community. Most of them have moved away from the region for their career/business. Yet we all still dreamed to stay close together in the same town or close by. Thanks to DF, I decided to make a plan to bring the community closer again - I designed and strategized a process, a long process. I called each family frequently to explain and also let my parents talk to each respective parent. I organized a community gathering around in order to have a dialogue about our desires to be closer, in which I facilitated a decision-making process. I shared my difficulties and gave time to listen all of the families and facilitated part of the dialogue through a narrative practice, which included a timeline of tribal history in my community. As a result, four of the tribal families are living in same town and the other two will move closer to us in the near future."
DFS6,Q2 2018,Community,Story ,2.5,1,2,,,"dialogue, community organizing, women's issues","I organized a support group for women in my church to openly have dialogue and discussions about current issues affecting them, such as parenting issues, drug issues, etc. I used the circle process in order for each person to have an equal chance to talk and practice how to listen. In my training, I do not control or force the participants into following my methods; I just facilitated the circle process so that more ideas and thoughts would develop. It feels good to have done this and it has created a more relaxing and equal space for the women participants, and they even continue the circle process to this day, even when I am not present."
