Story ID,Subject ID,Interview Period,Change Sphere(s),Contextualized Significance,Vertical Vector,Horizontal Vector,Evidence Strength,Codes,Narrative
,KESSP1,Q2 2018,"Personal, family, community",,,,,"learning from children, rudeness, gentleness","What we the parents have learned from our son is that we should not be rude to each other. Before, I and my husband used to quarrel a lot, but since our son has been attending the school we don't quarrel so much anymore. Even our relationship with our neighbors has improved. I credit the example and influence of my son for this. His good nature has made him a role model for us."
,"KESSP7,8",Q2 2018,"Personal, family",,,,,"different children, empathy","We are a poor family, and struggle to pay the school fees. One day when our daughter was in 4th grade, I sat her down and tried to explain this issue to her. I told her that I might need to go around and offer to do the neighbor's laundry, in order to pay the school fees. The daughter sat quietly at first, but then tears started welling up in her eyes, and then she finally begged me: ""Please don't do that!"" The shocking thing about that experience was just how much understanding and empathy my daughter showed. When I was a child and heard about my parents’ struggles, I couldn't really process it at the time. Instead, I just took such things as a simple fact about the world. To have a young child who could see my struggles, share in my embarrassment and have such strong feelings about it, it was astonishing to me.
"
,"KESSP7,8",Q2 2018,"Personal, family",,,,,"different children, curiosity, learning from children","We have had to travel in recent months, for church activities or conventions. We've had to go to both Mandalay and Myitkyina in the last year. And whenever twe make a trip like this, my daughter is always taking pictures, asking questions, and asking more about our plans in advance. Like that famous long bridge in the Kachin state. We were riding a motorbike, and it was a very hot day. My daughter said, ""Mom, let's get off and walk from here."" I resisted at first, ""Oh, it's very hot, let's just get across."" But my daughter really wanted to savor the experience of the bridge, and give it close attention. So we got down and we walked, and I tried to be patient with her questions. The lesson I took from that is how open and alert to experience my daughter is. Most of us just deal with the surface of life, try to be comfortable, and get from one point to the next without really paying attention. My daughter wants to really experience life.
"
,"KESSP7,8",Q2 2018,"Personal, family",,,,,"different children, curiosity","My son who is entering grade 2 is a very sensitive child, to the point that sometimes tears will roll down his cheeks while he's asking questions. But he's very curious to know what he'll be learning ahead of time. After they learn something, he will ask me what they will be learning next. I tell him what he has is enough for now, and he should just leave it there, and I don't want to jump ahead of his teacher's plan. But he says he's just curious to know, and he won't disturb the plan. That kind of curiosity about future lessons is very unusual among children in the government school. Their daily lessons are already overloaded; they have no curiosity about what comes next."
,"KESSP7,8",Q2 2018,"Personal, community",,,,,"different children, social skills","My son used to tease and annoy the other kids when he was young, but as he’s gotten older he doesn't do that so much. He still struggles with his studies, and had to repeat grade 4, following the recommendation of his teacher. Even so, he's very insightful and socially adept. While he was initially ashamed to repeat a grade, he's doing very well now and has learned from his failures. One day at school they took nominations from the children about who should serve in a leadership role, and he got a lot of votes from everyone. He was surprised about this, because he didn't think of himself as a leader. But it’s clear that others recognise this in him.
"
,"KESSP7,8",Q2 2018,"family, community",,,,,"different children, creativity, self-expression","My Ta'ang neighbours often come to my house to visit, and bring their kids. My grade 3 daughter once started to draw a picture in front of the other kids, and as she was drawing the picture she started to tell a story about what was going on in it. Then she ran out of space to draw, but continued to tell her story just from the thoughts in her head, and the other children just sat watching her, rapt. The other parents were also amazed, that someone could do something like this, just follow her imagination spontaneously. The things that other children know come from memorizing and repeating, not inventing like that. Those same parents started asking me about the school then, they were so impressed."
,KESSP9,Q2 2018,"Personal, family",,,,,"different children, rudeness, self-expression","My niece, my sister's daughter, moved to town from China a few years ago. She was quite rude at first. Sometimes she would run away from home, and go to sleep in the forest. But after going to the community school her behavior has much improved. She started to behave well. She seems to love attending the school. She never wants to miss a day. She's able to express love to family members now, like she made a gift for her grandmother and said she loved her, which is something she never did before."
,KESSP10/11*,Q2 2018,"Personal, family, community",,,,,"different children, questioning authority, confidence to speak, maturity","The differences between children from government school and community school are visible mainly within the family. I see the children from government schools just do what they are told. But my daughter in the community school always asks ""Why?"" They want to understand, not just follow orders. One specific example is that my daughter got involved with our discussion when we were trying to build out the sewer drains that run out from our house to the street. The daughter spoke up to point out that this sort of construction really needed to involve an expert who knows the city system, and it's not just something for people to try and do for themselves in a haphazard way. "
,KESSP10/11*,Q2 2018,"Personal, family",,,,,"different children, maturity, self-direction","I sent my oldest (daughter) to the community school at first, but then my confidence in the school wavered, and I sent my second child (son) to the government school. I reasoned that the government curriculum is already completed, the school system is a known quantity, stable, has resources, while in contrast the community school teachers are new and relatively unskilled, and beyond all that the government school is free. But then after another year or two I started to see the differences in my daughter, differences of character and being able to think for herself, and why the community school is valuable beyond reading and writing. So I changed my mind yet again and sent my youngest back to the community school."
,KESSP12,Q2 2018,"Personal, Community",,,,,"different children, confidence to speak","My son attended a music camp in the summer, where there were many participants from government schools, and even university students older than my son who is in grade 5. All those other children were shy, too shy to volunteer to lead a group prayer, or lead as a chairperson to lead a worship session. But my son was always ready to do so, and he spoke out very clearly in front of the others."
,KESSP12,Q2 2018,"Personal, family",,,,,"learning from children, violence","One time my son caused a problem with some of his friends, and when I heard about it, it made me very angry. I grabbed up a stick and ran out to beat him. But he cried out, ""Wait! Wait! Tell me what I did wrong first, at least! If you're going to beat me, beat me, but give me a reason!"" It made me stop and think, and I realized he was right. If the punishment wasn't linked to an instructive purpose, it was just empty violence. I've changed the way I think about punishing my children from that."
,KESSP12,Q2 2018,"Personal, family",,,,,"learning from children, self-awareness","My son has been a good example to me about knowing one’s limits and to accept them, from my son’s self-awareness. Like he says that he's good at languages, but not good at maths. He accepts this, and doesn't just try to be boastful about everything."
