Subject ID,When,Change Sphere,Type,Cntxt Sig,V Vctr,H Vctr,Themes,Patterns,Narrative,Jinghpaw version
KEKST1,Q2 2018,"Personal, Community",scenario,1,1,1,Sharing,"Learning from children, learning to share","The students have taught me things about how to relate better socially. When I had good curry I’d lunch in my room, eating alone and keeping it to myself. When I didn't have good food, that was when I would eat out with the students. But the students share their food with others whether their curry is good or bad. It made me think, and I realized my selfishness.",
KEKST2,Q2 2018,"Personal, Family, community",story,1,1,0,"Seeing other perspectives, Children as role models","Learning from children, urging against anger, seeing other perspectives","One day, a mother of a student came to me and said, “Teacher I felt so ashamed of myself.” I asked her why. She said that a neighbor had called on the phone to ask to borrow her car. She was breastfeeding at the time, and afterward complained aloud, “They should come in person instead of just calling. Who do they think they are?” The son saw that his mother was angry and exclaimed: “Put yourself in their place. They could be very busy. Their father might be packing. Their mother could have a stomachache. Even their grandmother could be busy. You don’t need to assume the worst, and be angry. Be kind.” The mother immediately felt shamed by her son's example.",
KEKST3,Q2 2018,Community,story,1,0,1,"New qualities of children: thoughtfulness, empathy, confidence to speak up, breaking convention","Breaking convention, practice of caring","In our school there is a student who is very thoughtful. One day another student got sick. I thought I would take the whole class to visit him when school let out, but we were busy that day, and so couldn't make time for it. And yet that thoughtful child went by himself. The following morning, he stood up and said, “Teacher, I want to say something.” He reported that our sick classmate looked very lonely. He said, “If we visit him he'll feel better, and that will speed his recovery.” I replied that the whole class would visit him end of the day. But the student insisted, “Why can’t we go now in the morning? We can have our class as a discussion while we're walking.” Then I thought, “Why not?”. And so we all walked out together, talked along the way, and visited the sick boy in the morning. He was very happy. The following day he rejoined the class.",
KEKST4,Q2 2018,"Personal, Family",scenario,1,0,0,Dialogue with family,Discussion improves relationships,"It's very rewarding when the children pick up on what I’m trying to teach. I get discouraged when they don't listen to me, or don't seem to get it. I feel even worse when I realize I've run out of ideas on what I can do to get through to them. At dinner my family and I will often share our experiences of the day. Sometimes I ask their opinion about some of my teaching struggles. I think this open sharing has improved communication in the family overall, because we didn't talk much before. Now conversation just flows.",
KEKST6,Q2 2018,"Personal, Community",story,2,1,1,Sharing to build trust,"Sharing of feelings, discussion improves relationships, class as family","The way to be one with the students is to know where they have come from. That’s what one teacher told me. So one day I decided to take the children outside to sit and talk. I took them to a riverbank away from the village. First I told them my own life. When I was young, our family was in great difficulty. I told them how I got through those difficult times. Then one child after another told their own life stories. We started to all feel closer. The story of one student in particular was quite moving. Her mother died when she was very young, while her father is a soldier and seldom at home, and she’s now living with her aunt. She said that she was always thinking about her mother with longing. This child had been quite isolated in the class, and didn't talk much with others. But after that day at the riverbank, she's really opened up, and seems to look up to me. The whole class has started to feel more like a family.",
KESST1,Q2 2018,"Personal, Community",story,1,0,0,Confidence to speak up,"Confidence to speak up, Learning from children, ","I used to be so shy, and wasn't confident to speak. But I practice in front of the children, and they trust me, and it gives me the strength to speak out in front of the parents. Last year in June, at the start of the school year, we had a meeting where all the parents were invited. And my school principal asked me to say something to the parents. So I spent all night writing down how I thought the parents could be involved, and the next morning I shared stories about things between the students and me, or how they are improving, and how the parents should support it, things they could do at home. School has made me open up more in social situations.",
KESST1,Q2 2018,"Personal, Colleagues, Community",story,2,1,2,"Challenging authority, church culture, Boldness","Church hierarchy prioritizing its own authority over healthy activity, Children motivating people to question authority","I was always a good follower. I learned from the leaders. But now I am an assistant principal. Last December, the teachers and students wanted to have a Christmas gathering with another community school nearby. Our school principal wasn’t present at school at that time. As an assistant principal, it fell to me to inform the school committee after we had discussed and made plans with this other school. But the response I got from the school committee was, ""This is not your school. You don't just get to decide these things on your own. You should have come to us first."" Within the church culture, when you have activities between churches it is protocol to send an official letter from the church leadership. But from our perspective this was not a church activity, yet the committee saw us as an extension of the church. I felt I was scolded unjustly. The other teachers were going to give up, but when I went back and looked at the excited students, and all the preparation work we were doing, like making presents and decorations, I decided to make a stand. I went back to the school committee and confronted them, ""This is not a church activity. This is our school activity. This kind of activity is even in the curriculum. Even if you don't approve, we are going.” Finally, the school committee relented with a warning not to do it like this again.","Ngai gaw galoi mung hpang hkan kaja rai wa ai. Ningbaw wa kaw nna ngai sharin la ai. Ya ngai gaw ningtau jawng lit hkam re. Lai wa sai December hta jawng kaw na sharin shara ni hte jawngma ni gaw ni nawn ai jawng ni hte Christmas poi lamang jawm galaw mayu ma ai. Dai a ten hta jawng lit hkam mung n nga taw ai. Ningtau jawng lit hkam a lit nga ai hte maren, n dai gaw jawng committee ni hpe shana ran a re ngu ai hpe mu ai. Dai majaw  laga jawng kaw na ni hte bawngban zup hpang ngut ai hpang jawng committee ni hpe shana ai. Rai tim lu la ai mahtai gaw “ dai nang na jawng n re ai, Nang hkrai dawdan ai baw ma n re, anhte kaw shawng sa shana ra ai rai nga” ngu nna tsun ai. Nawku hpung kata kaw gaw lamama galaw na rai jang seng ang ai ni de shawng shana nna shawk shawn laika bang ra ai hkrang re. Committee ni hku nna nawku hpung kata nna jawng hku mu ai rai tim n dai gaw nawku hpung a lamang n re ai ngu nna anhte gaw mu ai. N dai hku pawt katut ai gaw nye a matu n tara ai ngu nna hkam sha ai. Jawng na sharin shara n kau ni mung n gun daw nna n galaw sana hku myit wa ma ai. Myit rawt taw ai jawngma ni hte anhte lajawng da ai kumhpa ni, shatsawm da ai ni hpe bai yu dat shaloi gaw ngai jawng a committee ni hpe bai hkrum shaga na matu myit wa ai. N dai gaw nawku hpung hte seng ai lamang n re, jawng hte seng ai lamang she re, sharin lak chyoi kaw mung lawm ai lam ni hpe bai tsun dan nna, nanhte myit n hkrum tim anhte gaw sa na re ngu tsun ai shaloi hpang de dai hku n galaw na matu sadi jaw nna myit hkrum dat ai."
KESST2,Q2 2018,"colleagues, community",scenario,2.5,-1,-1,Leadership and motivation,"Early idealism gives way to disillusionment, petty leadership discourages activity of those below","The very first year of teaching I worked closely with two other friends. We were very happy, because the students were still very young and very obedient, and we also were still very fresh and idealistic, dreaming that we would make a big breakthrough as a people. We worked through the night together, without feeling tired, making stories, drawing pictures, happy and excited for the students and what we were doing for them. But after that time, not so much, and our teachers are now often discouraged. Now, in fact, when I come to teacher training in Kawnghka I get even more discouraged. I see our leaders gossiping about each other, complaining that they don't get paid as much as others even though they do more work, and things like that. The idealism is gone. I feel like I just need to go back to my own school and focus on my children, and not depend on others.",
KESST2,Q2 2018,"personal, colleagues",story,2.5,2,2,"Learner-centeredness, challenging authority","Trying a new idea despite disapproval from authority, Peer teaching","I'm going to try to do peer teaching this year in grade 6. Actually, I don't want to be called teacher. I want us all to be learners, and have some of my students lead classes more often. I don't think the principal will accept this, in fact I doubt that she will, but I want to try anyway.",
KESST2,Q2 2018,"personal, colleagues",story,2.5,2,2,Authoritarian control,"Leadership through rigid discipline, Unnecessary rules, authoritarian control a psychological harm","I want to stop all the rules and rigid discipline we still have at our school. Even if we don't beat the children, there are still many unnecessary rules that lead us to treat the children too harshly. One day a child came to me to ask to borrow a spoon during lunch, because she forgot hers at home, so I jumped up to go get one, and the principal shouted, ""No, I already told them not to forget their spoons! She'll just have to go without. Sit back down and don't get her one."" Or to give another example, one day during assembly the children were moving around a bit while the principal was talking, and she shouted at them, ""Stand still! Hands at your sides!"" And they went all stiff like they were in prison. It made me sick. What's the point of that? They're just children. They forget things sometimes, they need to move. Who is it hurting?",
