Narrative ID,Change Sphere(s),Issue Significance,Change Vector,Evidence,Codes,Narrative
1,"Community, Colleagues",Shallow,,Weak,"organizational behavior, quality discussion","There was a recent time when the government, working with some Chinese businesses, tried to take over some of the land vacated by IDPs in order to set up a banana plantation. The church association I lead had to work to try to mobilize the people to resist this, but do so with a community obviously distributed widely and under threat, and yet without things spilling over into yet another episode of hostilities. My staff had to do a lot of work to organize people, and I think some of the communication skills we learned through PLD helped us manage this in a way that I think we simply couldn't have 2 years ago."
2,Community,Shallow,,Strong ,"Quality discussion, strategic planning, community organizing, gaining trust","This one community had been having a problem with the Myanmar-China pipeline for four years. A number of the villagers had their farms destroyed by the pipeline construction and water erosion. So the farmers sought compensation. The Chinese company claimed it was not their fault. And the discussions went nowhere for four years. So I went and talked with the people using appreciative inquiry, and I used some strategic planning approaches to diagram who was involved, who needed to be approached, things like that. I made one statement with all the community and applied to the Hluttaw. I collected everyone’s concerns to put to the Hluttaw, so that the community could get compensation. In the end they got 40,000 lakhs compensation."
3,Community,Moderate,,Strong,"Community organizing, inclusion, initiative","Before I had been working with the Farmer’s Union, but I became interested in environmental issues, including things like the pipeline. There was a big flood in December of 2015, and I went to work on the rescue team. It was while working on that team that I had an idea that these people need a place to talk about finding solutions to their issues, so I created a Community Dialogue Centre, and built it next to my house. A bamboo shelter, so people can come and talk to find solutions, this type of thing. I contacted Metta Development Foundation, got a loan for this project, and built up from there. Now the situation is that twice a year we have a big village committee meeting, go over financial statements and other information about what is going on environmentally in their area - erosion, diseases, improvements, etc - they bring it all. And we talk through it together."
4,"Personal, Community",Shallow,,Moderate,"Listening, Quality discussion, self-awareness","Over the last six months I have been involved with organizing the election process for a new village head. I wasn't there in any official capacity, just as another village member expressing their views. I listened to what was being said in the forums, shared some of what I've learned, and found that I was starting to play a facilitating role without intending to. The existing administrator was conflicted about whether it was legitimate for him to run again for the office or not. His thinking wasn't clear, and there was some confusion about how to proceed. That’s where I got involved. My contribution came directly from what I learned from DF. I listened, I asked questions. For example, would people accept it if this existing head ran for office again? These kinds of things. I don’t know exactly how it's going to turn out, but one early outcome is that the existing administrator has indeed decided to stand for election again. I feel I played a part in that."
5,Community,Moderate,,Weak,"Listening, community organizing","The organization I work for has always done a lot of awareness training for women, on issues like women's rights, consumer rights, land rights, environmental protection, income generation, etc. But after DF I started to feel that didn't go deep enough, because it was just instructing the women and not really listening to them. So on my own initiative I tried to leave more room to listen to the women, hear their issues, and think about practical ways we could support each other. In the past I felt that the women only seemed to come grudgingly, didn't engage or left early, and we couldn't get them to make time to meet together very often. But now we get together weekly, and more of them are active, so I feel like this new approach has really been valuable."
6,"Personal, Colleagues",Moderate,,Weak,"leadership, listening, organizational behavior, controlling others","Before the PLD work I used to be preoccupied with status and power. As a religious leader in my association I used my power in a top-down way, and had no interest in listening to my subordinates. No longer. I feel I have a strong relationship with my colleagues now. I listen more and try to understand other points of view. One of my biggest realizations in PLD was how people create problems by trying to control others. Now I've learned to focus on changing myself first.  My leadership style has changed from top-down to bottom up. Which means I listen more, and I encourage my fellow church village members to find their own voice. With all these changes to how I approach the people around me, I find that I am more content and stress free."
7,"Personal, Family",Moderate,,Weak,"power dynamics, gender roles, appreciation, listening, quality discussion","I used to be impatient with my family members. I used to dominate everything as the leading man of the household, and think that was my proper role. But now I think I show my appreciation to my wife and my kids. It seems to me that the trust between us is growing. I believe this because I can see that we are taking more time to talk about things and consult each other, rather than having them hide their opinions because they're afraid of being criticized. We simply never took this kind of discussion time in my family before."
8,Personal,Moderate,,Weak,"questioning authority, self-awareness","PLD helped me realize that the messages we religious leaders delivered in our sermons were hollow, that in a way we were cheating our church members because we couldn't practice what we preach. For example we teach about love and forgiveness but we can’t even show love in our families or work settings. Sometimes we teach about the kingdom of God, but we don’t even have a clear concept of it. So it's forced me to confront deep and important questions about what I'm doing with my life."
9,"Personal, Community",Moderate,,Weak,"self-awareness, self-control, repairing relationships","After my parent’s death the members of the church showed me a lot of sympathy, but to an excessive degree, I felt, to the point that I started to resent the way their pity made me feel, like a victim. But after the second PLD process I reflected and asked myself why I’ve been allowing their actions to make me feel victimised. I learned that I can’t change their attitude, but I can change mine. So I started to try to go to church and look past the behavior that had been wounding me. After a time I could see their own behavior start to change, as I showed a new attitude, and now I have become one of the most reliable young people in my church. Now I have a very good relationship with leaders and the youth of the church."
10,"Personal, Family, Community",Moderate,,Strong,"courage, self-direction, social work, social pressure","I started a community youth centre in 2016. At that time my family faced financial difficulties, and they were not interested in social work. They pushed me to go abroad in order to make more money. But the reflective activities of the PLD process made me much clearer about what I really wanted to do. I started the centre without any money or previous experience, and my parents thought it was useless. I had a job but no salary. PLD helped build my confidence and motivated me to start doing this. Before I started the centre, my parents would usually order me around all the time. But now they don’t order me about or pressure me to do anything."
11,Personal,Moderate,,Strong,"self-direction, social pressure, courage, self-awareness","I used to work for a religious organization, but over time came to realize that this work was not compatible with my dreams. They told me I was selfish for wanting to leave, which stopped me from making this decision initially. But eventually I mustered the courage to follow my passions. I want to be involved in this transformation process for my whole life: it keeps me motivated, has allowed me to heal from issues that are causing me pain, and enables me to lead a peaceful and meaningful life. "
12,"Personal, Family",Moderate,,Strong,"self-direction, repairing relationships, courage","I’ve never been confident enough to make difficult decisions, and lacked the motivation to follow them through. But in 2016, I decided to leave my religious organisation. Without the transformation process, I couldn’t have made that decision.  I knew I needed more time to rebuild my relationship in my family (especially my mother), while at the same time I’ve always been interested in working on women’s issues, and my religious organization wasn't allowing enough room for me to make progress in either area. "
