Story ID,Subject ID,Interview Period,Beneficiary sphere,Change Sphere(s),Story/Scenario,Contextualized Significance,Change Vector,Evidence Strength,Codes,Narrative
,PLD1,Q2 2018,Direct,"Personal, Family",Story ,,,Strong,"courage, social pressure, self-control, self-direction","My wife, my two sons and I used to live in my family house with the rest of my family members. In 2017 my father made a decision about something that turned the family against him. It got so bad that they forced him out of the house, and his health situation worsened. Even my elder brother, an influential religious leader in the region, treated him very badly. I was the only one who defended him, even though I too deeply disagreed with his decision.  Eventually I decided to move out to a different house and take my father with me. Before attending the PLD workshops I would say I was indecisive, but PLD started to show me how to find my own direction and make difficult choices. I saw this in action in my family situation: I was able to control myself, make deliberate choices, and move toward the most positive outcome. It was not easy, but I was able to do what I needed to."
,PLD1,Q2 2018,Direct,"Personal, Family",Story ,,,Moderate,"empathy, blaming others, gender roles, repair relationships","My wife, my two sons and I used to live in my family house with the rest of my family members. My wife was unhappy in this situation, but I didn't realize it at the time. I would just complain about her attitude. But during the first PLD process I started to reflect on the situation, was forced to recognize the rift between us and where it was coming from. So I started to try to work on our relationship, paid more attention to her and tried to do more to take care of her. She saw this change in me, saw that PLD had something to do with it, and now she encourages me to keep on with the PLD group. "
,PLD1,Q2 2018,Direct,"Personal, Family",Scenario ,,,Weak,controlling others,"I used to try to control my son's life, and steer him toward making the decisions I wanted him to make. Now I am trying to support his choices rather than directing them."
,PLD1,Q2 2018,Direct,Personal,Scenario ,,,Weak,"tolerance, self-direction","I used to be very reactive, very quick to respond when I saw things that I didn’t like. But I'm not so quick to judge now. I am much more open to accepting differences. I feel more peaceful as a result. At the same time I am also more confident to say no when the situation calls for it. "
,PLD2,Q2 2018,Direct,"Personal, Colleagues",Scenario ,,,Weak,"leadership, controlling others, listening, organizational behavior","Before the PLD work I used to be preoccupied with status and power. As a religious leader in my association I used my power in a top-down way, and had no interest in listening to my subordinates. No longer. I feel I have a strong relationship with my colleagues now. I listen more and try to understand other points of view. One of my biggest realizations in PLD was how people create problems by trying to control others. Now I've learned to focus on changing myself first.  My leadership style has changed from top-down to bottom up. Which means I listen more, and I encourage my fellow church village members to find their own voice. With all these changes to how I approach the people around me, I find that I am more content and stress free."
,PLD3,Q2 2018,Direct,"Personal, Colleagues",Scenario ,,,Moderate,"self-control, self-awareness, blame, appreciation/gratitude, organizational behavior","I used to be very critical in my work, always finding fault with others, but not able to see myself clearly. From PLD I learned how to have self-awareness and self-control. I've also learned the value of showing my appreciation to my colleagues. I have become more thoughtful about how to confront them when necessary. For example, when they make a mistake I do not correct them in front of the group, but instead take time to discuss it with them privately. But when I want to compliment them I make a point of doing that in front of everyone. I see that creates more trust and creates positive energy. Now that I am aware that leading myself is very important, my work life has much improved."
,PLD3,Q2 2018,Direct,"Personal, Family",Scenario ,,,Moderate,"patriarchy, showing appreciation, listening, dialogue, building trust","I used to be impatient with my family members. I used to dominate everything as the leading man of the household, and think that was my proper role. But now I think I show my appreciation to my wife and my kids. It seems to me that the trust between us is growing. I believe this because I can see that we are taking more time to talk about things and consult each other, rather than having them hide their opinions because they're afraid of being criticized. We simply never took this kind of discussion time in my family before."
,PLD4,Q2 2018,Direct,"Personal, Family",Scenario ,,,Weak,controlling others,In my family I used to be domineering. I just wanted everyone to follow my instructions. But now it has changed. I am encouraging my family to make their own choices. 
,PLD4,Q2 2018,Direct,"Personal, Colleagues",Scenario ,,,Weak,"blame, forgiveness",I used to be vindictive at work. I would hold grudges and take opportunities to pay people back who I thought had wronged me. But now I find that my desire for revenge has faded. I feel I can put down my bitterness and let go of my ego.
,PLD5,Q2 2018,Direct,Personal,Scenario ,,,Weak,"self-awareness, self-direction","In the beginning I did not think this PLD process would offer any answers. I had attended many trainings and workshops in other settings, and I thought PLD would be just like that. But this PLD work was a very new experience. It showed me how to understand and accept myself. I used to be very negative, and focused on other people's opinions of me, but now I'm able to focus on my own choices for what I want to do with my life. "
